path;text
data/train/audio/audio001.wav;The birch canoe slid on the smooth planks
data/train/audio/audio002.wav;Glue the sheet to the dark blue background
data/train/audio/audio003.wav;It's easy to tell the depth of a well
data/train/audio/audio004.wav;These days a chicken leg is a rare dish
data/train/audio/audio005.wav;Rice is often served in round bowls
data/train/audio/audio006.wav;The juice of lemons makes fine punch
data/train/audio/audio007.wav;The box was thrown beside the parked truck
data/train/audio/audio008.wav;The hogs were fed chopped corn and garbage
data/train/audio/audio009.wav;Four hours of steady work faced us
data/train/audio/audio010.wav;A large size in stockings is hard to sell
data/train/audio/audio011.wav;The boy was there when the sun rose
data/train/audio/audio012.wav;A rod is used to catch pink salmon
data/train/audio/audio013.wav;The source of the huge river is the clear spring
data/train/audio/audio014.wav;Kick the ball straight and follow through
data/train/audio/audio015.wav;Help the woman get back to her feet
data/train/audio/audio016.wav;A pot of tea helps to pass the evening
data/train/audio/audio017.wav;Smoky fires lack flame and heat
data/train/audio/audio018.wav;The soft cushion broke the man's fall
data/train/audio/audio019.wav;The salt breeze came across from the sea
data/train/audio/audio020.wav;The girl at the booth sold fifty bond
data/train/audio/audio021.wav;The small pup gnawed a hole in the sock
data/train/audio/audio022.wav;The fish twisted and turned on the bent hook
data/train/audio/audio023.wav;Press the pants and sew a button on the vest
data/train/audio/audio024.wav;The swan dive was far short of perfect
data/train/audio/audio025.wav;The beauty of the view stunned the young boy
data/train/audio/audio026.wav;Two blue fish swam in the tank
data/train/audio/audio027.wav;Her purse was full of useless trash
data/train/audio/audio028.wav;The colt reared and threw the tall rider
data/train/audio/audio029.wav;It snowed, rained, and hailed the same morning
data/train/audio/audio030.wav;Read verse out loud for pleasure
data/train/audio/audio031.wav;The quiet fox jumped over the lazy dog
data/train/audio/audio032.wav;Please schedule the meeting for next Wednesday morning
data/train/audio/audio033.wav;She bought a dozen eggs and two loaves of bread
data/train/audio/audio034.wav;The weather forecast predicts heavy rain tomorrow
data/train/audio/audio035.wav;He couldn’t remember where he parked the car
data/train/audio/audio036.wav;Open the window to let in some fresh air
data/train/audio/audio037.wav;My favorite color changes depending on the season
data/train/audio/audio038.wav;The camera battery died right before the ceremony
data/train/audio/audio039.wav;Turn left at the traffic light, then go straight
data/train/audio/audio040.wav;I usually drink coffee before checking my emails
data/train/audio/audio041.wav;The penguin danced salsa on the icy floor with surprising grace
data/train/audio/audio042.wav;My llama refuses to eat tacos on Tuesdays
data/train/audio/audio043.wav;Bananas aren’t good at keeping secrets, but they sure try
data/train/audio/audio044.wav;A cat in sunglasses rode a skateboard past my office window
data/train/audio/audio045.wav;The robot insisted on singing karaoke every Friday night
data/train/audio/audio046.wav;Don’t trust a goose wearing a bowtie—it knows too much
data/train/audio/audio047.wav;The spaghetti leapt off the plate and staged a noodle rebellion
data/train/audio/audio048.wav;He trained his hamster to do taxes but not laundry
data/train/audio/audio049.wav;Every time I sneeze, my toaster starts making waffles
data/train/audio/audio050.wav;The alien politely declined the coffee but asked for hot sauce
